13:05:42 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
13:05:42 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (15 ms)
13:05:42 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=Genevieve "HTTP/1.1 200 OK"
13:05:42 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=Genevieve -> 200 (12 ms)
13:05:42 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=genevieve "HTTP/1.1 200 OK"
13:05:42 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=genevieve -> 200 (16 ms)
13:05:42 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=GENEV "HTTP/1.1 200 OK"
13:05:42 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=GENEV -> 200 (17 ms)
13:05:42 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=contact.9f972b79%40qa.example.com "HTTP/1.1 200 OK"
13:05:42 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=contact.9f972b79%40qa.example.com -> 200 (19 ms)
13:05:42 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/63 "HTTP/1.1 204 No Content"
13:05:42 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/63 -> 204 (12 ms)
