09:54:04 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
09:54:04 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (6 ms)
09:54:04 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=Genevieve "HTTP/1.1 200 OK"
09:54:04 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=Genevieve -> 200 (5 ms)
09:54:04 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=genevieve "HTTP/1.1 200 OK"
09:54:04 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=genevieve -> 200 (6 ms)
09:54:04 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=GENEV "HTTP/1.1 200 OK"
09:54:04 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=GENEV -> 200 (6 ms)
09:54:04 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=contact.6567430f%40qa.example.com "HTTP/1.1 200 OK"
09:54:04 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=contact.6567430f%40qa.example.com -> 200 (5 ms)
09:54:04 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/100 "HTTP/1.1 204 No Content"
09:54:04 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/100 -> 204 (5 ms)
