19:59:34 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
19:59:34 INFO  tests.setup | Resetting database at http://127.0.0.1:8000
19:59:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/test/reset "HTTP/1.1 200 OK"
19:59:35 INFO  tests.setup | Database reset complete: {'tenants': 2, 'users': 6, 'contacts': 60, 'segments': 4, 'campaigns': 5, 'notifications': 3, 'surveys': 2, 'survey_responses': 5, 'deliveries': 15}
19:59:36 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
19:59:36 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (293 ms)
19:59:36 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
19:59:36 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (25 ms)
19:59:36 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
19:59:36 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (9 ms)
19:59:36 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
19:59:36 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (24 ms)
19:59:36 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
19:59:36 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (25 ms)
19:59:36 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/8/send "HTTP/1.1 202 Accepted"
19:59:36 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/8/send -> 202 (29 ms)
19:59:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
19:59:36 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (22 ms)
19:59:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
19:59:36 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (12 ms)
19:59:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
19:59:36 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (8 ms)
19:59:37 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
19:59:37 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
19:59:37 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
19:59:37 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (7 ms)
19:59:37 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
19:59:37 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (12 ms)
19:59:37 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
19:59:37 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (7 ms)
19:59:38 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
19:59:38 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (7 ms)
19:59:38 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
19:59:38 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
19:59:38 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/8 "HTTP/1.1 200 OK"
19:59:38 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/8 -> 200 (5 ms)
19:59:38 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
19:59:38 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (12 ms)
