19:59:34 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
19:59:36 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
19:59:36 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (299 ms)
19:59:36 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
19:59:36 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (18 ms)
19:59:36 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/63 "HTTP/1.1 204 No Content"
19:59:36 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/63 -> 204 (18 ms)
19:59:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts/63 "HTTP/1.1 404 Not Found"
19:59:36 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts/63 -> 404 (11 ms)
19:59:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=contact.259cefea%40qa.example.com "HTTP/1.1 200 OK"
19:59:36 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=contact.259cefea%40qa.example.com -> 200 (19 ms)
